"새주소","지번주소","좌표정보","좌표정보","테마코드","콘텐츠 코드","언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)","콘텐츠 명","시도명(텍스트)","구명","동명","산지여부","주 번지","부 번지","기타주소","전화번호","상세정보 값 1","상세정보 값 2","상세정보 값 3","상세정보 값 4","상세정보 값 5","상세정보 값 6","상세정보 값 7","상세정보 값 8","상세정보 값 9","상세정보 값 10","상세정보 값 11","상세정보 값 12","상세정보 값 13","상세정보 값 14","상세정보 값 15","상세정보 값 16","상세정보 값 17","상세정보 값 18","상세정보 값 19","상세정보 값 20","상세정보 이름 1","상세정보 이름 2","상세정보 이름 3","상세정보 이름 4","상세정보 이름 5","상세정보 이름 6","상세정보 이름 7","상세정보 이름 8","상세정보 이름 9","상세정보 이름 10","상세정보 이름 11","상세정보 이름 12","상세정보 이름 13","상세정보 이름 14","상세정보 이름 15","상세정보 이름 16","상세정보 이름 17","상세정보 이름 18","상세정보 이름 19","상세정보 이름 20","좌표데이터","좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint)","선 두께 1~10","테마 선 색상","키워드","등록일","수정일"
"효창원로93길 12","","126.962838818","37.548532797","100324","11170000202","KOR","베베궁어린이집","","용산구","","","","","","02-6367-0707","가정","일반","15","5","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:10.0","2019-01-17 04:00:10.0"
"용답중앙길 89-2","","127.055190156","37.562330905","100324","11200000007","KOR","꿈터 어린이집","","성동구","","","","","","02-2242-2989","민간개인","시간연장형","169","150","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:10.0","2019-01-04 04:00:18.0"
"서울특별시 성동구 마장로 141","서울특별시 성동구 상왕십리동 130-30","127.025528696","37.567869155","100324","11200000009","KOR","구립 홍익어린이집","","성동구","","","","","","02-2293-2596","국공립","장애아통합 시간연장형","124","108","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:10.0","2018-10-12 17:30:10.0"
"매봉18길 1","","127.012733888","37.549577958","100324","11200000012","KOR","구립 금옥어린이집","","성동구","","","","","","02-2297-6738","국공립","시간연장형","70","63","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-04 04:00:19.0"
"한림말길 16-5","","127.012743916","37.540465114","100324","11200000013","KOR","구립 연꽃어린이집","","성동구","","","","","","02-2282-1105","국공립","장애아통합 시간연장형","120","112","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-12-22 04:00:09.0"
"독서당로57가길 24","","127.028583405","37.552503065","100324","11200000014","KOR","구립 금봉어린이집","","성동구","","","","","","02-2291-5803","국공립","시간연장형","79","77","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-03 04:00:32.0"
"사근동길 37","","127.045352865","37.561515381","100324","11200000015","KOR","구립 사근다솜어린이집","","성동구","","","","","","02-2281-3308","국공립","장애아통합 시간연장형","67","64","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-12-06 04:00:12.0"
"고산자로10길 18","","127.036141894","37.558481129","100324","11200000016","KOR","구립 은행어린이집","","성동구","","","","","","02-2281-4477","국공립","시간연장형","64","61","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-12-25 04:00:10.0"
"행당로 15","","127.021677409","37.554856122","100324","11200000017","KOR","구립 대현어린이집","","성동구","","","","","","02-2299-5935","국공립","시간연장형","84","75","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-03 04:00:32.0"
"마장로44길 10","","127.045401436","37.566465431","100324","11200000018","KOR","구립 마장어린이집","","성동구","","","","","","02-2293-9394","국공립","장애아통합 시간연장형 null","116","109","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-01 04:00:36.0"
"독서당로46길 26","","127.022349795","37.547175249","100324","11200000019","KOR","구립 금사어린이집","","성동구","","","","","","02-2293-4544","국공립","장애아통합 시간연장형","59","51","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-03 04:00:33.0"
"아차산로1길 30","","127.046501684","37.550499758","100324","11200000020","KOR","구립 성일어린이집","","성동구","","","","","","02-464-5219","국공립","시간연장형","62","57","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-03 04:00:34.0"
"서울특별시 성동구 광나루로2길 14","서울특별시 성동구 성수동2가 299-128","127.053394656","37.549514760","100324","11200000021","KOR","구립 성수어린이집","","성동구","","","","","","02-498-6715","국공립","시간연장형","50","46","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-10-12 17:30:09.0"
"금호동2가 매봉18길 125","","127.019031930","37.556879921","100324","11200000022","KOR","구립 금호어린이집","","성동구","","","","","","02-2234-1382","국공립","시간연장형","79","48","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-01 04:00:37.0"
"난계로 114-31","","127.026326435","37.562046691","100324","11200000023","KOR","구립 무학어린이집","","성동구","","","","","","02-2293-3067","국공립","시간연장형","59","56","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-12-05 04:00:17.0"
"둘레3길 18","","127.047335257","37.538748575","100324","11200000024","KOR","구립 진터마루어린이집","","성동구","","","","","","02-2205-5004","국공립","장애아통합 시간연장형","96","82","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-11-02 04:00:33.0"
"자동차시장길 22","","127.056362634","37.561196397","100324","11200000025","KOR","구립 용답어린이집","","성동구","","","","","","02-2245-8538","국공립","시간연장형","206","191","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-12-25 04:00:10.0"
"독서당로60길 12-7","","127.030546948","37.548961743","100324","11200000026","KOR","구립 응봉어린이집","","성동구","","","","","","02-2295-1021","국공립","시간연장형 휴일보육","67","53","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-10 04:00:14.0"
"행당로 82","","127.029986913","37.556421902","100324","11200000027","KOR","구립 행당어린이집","","성동구","","","","","","02-2295-3918","국공립","시간연장형","84","80","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2019-01-08 04:00:11.0"
"서울특별시 성동구 왕십리로30길 17-1","서울특별시 성동구 홍익동 385-1","127.030608717","37.566095303","100324","11200000028","KOR","구립 도선어린이집","","성동구","","","","","","02-2297-9178","국공립","장애아통합 시간연장형","62","58","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-10-12 17:30:09.0"
"고산자로10길 13","","127.035392177","37.559272349","100324","11200000029","KOR","성동구청 무지개 어린이집","","성동구","","","","","","02-2286-6095","직장","시간연장형","49","42","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-11-29 04:00:04.0"
"서울특별시 성동구 성수이로3길 14-7","서울특별시 성동구 성수동2가 513-1","127.053067774","37.537159734","100324","11200000030","KOR","구립 성덕어린이집","","성동구","","","","","","02-464-9746","국공립","시간연장형","44","39","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:09.0","2018-10-12 17:30:09.0"
"난계로 61  -46","","127.023005085","37.557594852","100324","11200000031","KOR","본향어린이집","","성동구","","","","","","02-2291-2350","법인.단체등","일반","79","79","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-12-22 04:00:09.0"
"청계천로 546","","127.036898056","37.571714376","100324","11200000032","KOR","구립 서마어린이집","","성동구","","","","","","02-2293-5369","국공립","시간연장형","59","58","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-12-04 04:00:30.0"
"뚝섬로3길 18","","127.049681336","37.542018484","100324","11200000033","KOR","구립 성원어린이집","","성동구","","","","","","02-461-1690","국공립","장애아통합 시간연장형","77","70","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-11-01 04:00:28.0"
"금호동3가 금호산9길 9","","127.019130088","37.549967218","100324","11200000034","KOR","구립 동호어린이집","","성동구","","","","","","02-2235-0914","국공립","시간연장형","85","84","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2019-01-03 04:00:35.0"
"서울특별시 성동구 난계로 18","서울특별시 성동구 금호동1가 622-1","127.024890865","37.553709948","100324","11200000035","KOR","구립 금일어린이집","","성동구","","","","","","02-2291-8629","국공립","장애아통합 시간연장형 null","91","87","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-10-12 17:30:08.0"
"독서당로 375","","127.029549254","37.550932262","100324","11200000038","KOR","헤세드어린이집","","성동구","","","","","","02-2292-1191","법인.단체등","일반","79","49","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2019-01-11 04:00:12.0"
"둘레5길 14-1","","127.048339185","37.538141404","100324","11200000040","KOR","개나리동산어린이집","","성동구","","","","","","02-469-1325","법인.단체등","시간연장형","44","29","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2019-01-03 04:00:35.0"
"용답중앙길 49","","127.051757040","37.564781087","100324","11200000041","KOR","구립 단비어린이집","","성동구","","","","","","02-2249-3215","국공립","영아전담 시간연장형","57","52","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-11-14 04:00:06.0"
"무학로6길 41","","127.034638685","37.565128803","100324","11200000043","KOR","아세아어린이집","","성동구","","","","","","02-2292-6927","민간개인","일반","79","35","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-11-16 04:00:08.0"
"왕십리로 222-1","","127.043366113","37.559669934","100324","11200000045","KOR","한양대학교 한양어린이집","","성동구","","","","","","02-2220-1528","직장","일반","81","74","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-12-04 04:00:31.0"
"금호산12길 10","","127.020228239","37.551725818","100324","11200000047","KOR","성호 어린이집","","성동구","","","","","","02-2232-4215","민간개인","일반","69","67","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2019-01-17 04:00:10.0"
"무학봉16길 9-3","","127.032036802","37.560870480","100324","11200000049","KOR","신영창의 어린이집","","성동구","","","","","","02-2296-3990","민간개인","시간연장형","140","137","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-12-05 04:00:18.0"
"고산자로 160","","127.035567581","37.553826671","100324","11200000050","KOR","대림강변어린이집","","성동구","","","","","","02-2292-8042","민간개인","일반","50","8","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-12-07 04:00:10.0"
"송정18가길 29","","127.069277545","37.554987473","100324","11200000051","KOR","구립 송화어린이집","","성동구","","","","","","02-499-5292","국공립","장애아통합 시간연장형","88","73","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2019-01-03 04:00:36.0"
"마장로27가길 15","","127.035341537","37.566801761","100324","11200000052","KOR","예지어린이집","","성동구","","","","","","02-2292-8800","민간개인","시간연장형","49","33","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-12-22 04:00:10.0"
"무학봉28길 7","","127.033087299","37.562203061","100324","11200000054","KOR","쵸코렛어린이집","","성동구","","","","","","02-2298-3938","민간개인","일반","48","47","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-12-25 04:00:11.0"
"서울특별시 성동구 난계로 84","서울특별시 성동구 하왕십리동 1061","127.027013029","37.560002388","100324","11200000059","KOR","구립 풍림아름다운어린이집","","성동구","","","","","","02-2293-1005","국공립","시간연장형","32","29","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-10-12 17:30:08.0"
"왕십리로 36","","127.044267554","37.540476883","100324","11200000060","KOR","구립 빛초롱어린이집","","성동구","","","","","","02-499-8599","국공립","시간연장형","30","30","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:08.0","2018-11-20 04:00:13.0"
"무수막길 72","","127.020767964","37.552217543","100324","11200000061","KOR","꼬마대통령 어린이집","","성동구","","","","","","02-2253-6007","민간개인","일반","49","49","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-04 04:00:20.0"
"금호동2가 무수막길 80","","127.020817154","37.553009661","100324","11200000063","KOR","성동 어린이집","","성동구","","","","","","02-2231-9797","민간개인","일반","42","42","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-11-20 04:00:14.0"
"행당로6길 97","","127.030178059","37.557179430","100324","11200000064","KOR","성광교회부설예원어린이집","","성동구","","","","","","02-2299-2375","민간개인","일반","60","34","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-12-01 04:00:28.0"
"고산자로 164","","127.034991610","37.555842155","100324","11200000067","KOR","행당한신어린이집","","성동구","","","","","","02-2291-0079","민간개인","일반","65","43","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-12-04 04:00:33.0"
"금호동1가 금호로 100","","127.025606640","37.554788334","100324","11200000068","KOR","꼬마에디슨 어린이집","","성동구","","","","","","02-2293-8090","민간개인","일반","80","58","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-19 04:00:08.0"
"금호동1가 행당로6길 2","","127.025380799","37.555392320","100324","11200000070","KOR","구립 벽산어린이집","","성동구","","","","","","02-2296-3062","국공립","시간연장형","77","69","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-05 04:00:15.0"
"독서당로 272","","127.019821982","37.546054670","100324","11200000072","KOR","하니삐아제 어린이집","","성동구","","","","","","02-2297-9501","민간개인","일반","69","63","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-19 04:00:09.0"
"둘레9길 20-5","","127.051477693","37.537642077","100324","11200000073","KOR","예사랑 어린이집","","성동구","","","","","","02-498-9733","민간개인","시간연장형","39","32","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-10 04:00:15.0"
"성덕정길 45","","127.048702449","37.538649781","100324","11200000076","KOR","뽀뽀뽀어린이집","","성동구","","","","","","02-467-8195","민간개인","시간연장형","22","21","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-12-06 04:00:13.0"
"행당로 75","","127.027534667","37.556575433","100324","11200000077","KOR","튼튼삐아제어린이집","","성동구","","","","","","02-2296-3071","민간개인","일반","99","86","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-15 04:00:11.0"
"성수동2가 성수일로10길 33","","127.053901628","37.546542258","100324","11200000078","KOR","곤지잼잼 어린이집","","성동구","","","","","","02-468-0140","민간개인","시간연장형","79","79","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-12-04 04:00:34.0"
"성수동1가 성덕정길 25-96","","127.047188809","37.539732245","100324","11200000079","KOR","별초롱 어린이집","","성동구","","","","","","02-468-0190","민간개인","일반","47","33","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-09 04:00:10.0"
"동일로 187","","127.067455818","37.548924738","100324","11200000080","KOR","송정어린이집","","성동구","","","","","","02-498-6198","민간개인","일반","39","29","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-17 04:00:11.0"
"아차산로7길 15-8","","127.054512223","37.546693765","100324","11200000082","KOR","큰별어린이집","","성동구","","","","","","02-467-3766","민간개인","시간연장형","39","11","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-12-25 04:00:12.0"
"송정18가길 34","","127.069549795","37.555273725","100324","11200000084","KOR","행복가득어린이집","","성동구","","","","","","02-498-7383","민간개인","시간연장형","45","45","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-10-23 04:00:14.0"
"서울특별시 성동구 동일로 221","서울특별시 성동구 송정동 18-3","127.069016853","37.551667900","100324","11200000088","KOR","성진어린이집","","성동구","","","","","","02-466-2389","민간개인","일반","32","10","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2018-10-12 17:30:07.0"
"독서당로 190","","127.012370689","37.542424285","100324","11200000090","KOR","에벤에셀어린이집","","성동구","","","","","","02-2297-6405","민간개인","일반","23","5","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-03 04:00:38.0"
"왕십리로28길 20","","127.032000810","37.565319952","100324","11200000092","KOR","ABC 어린이집","","성동구","","","","","","02-2299-4145","민간개인","일반","54","54","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-03 04:00:39.0"
"용답중앙11다길 22","","127.052479259","37.565823083","100324","11200000093","KOR","삼성어린이집","","성동구","","","","","","02-2244-3775","민간개인","시간연장형","44","44","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:07.0","2019-01-09 04:00:10.0"
"둘레13길 15","","127.052989946","37.536121899","100324","11200000094","KOR","딩동댕어린이집","","성동구","","","","","","02-497-1919","민간개인","시간연장형","46","46","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-11-05 04:00:06.0"
"상원12길 16","","127.049462708","37.550467204","100324","11200000095","KOR","장미 몬테소리 어린이집","","성동구","","","","","","02-467-6405","민간개인","시간연장형","27","22","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2019-01-22 04:00:13.0"
"서울특별시 성동구 성수일로8길 47","서울특별시 성동구 성수동2가 835","127.056520444","37.545785694","100324","11200000096","KOR","베스트베이비어린이집","","성동구","","","","","","02-499-1177","민간개인","일반","23","23","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-10-12 17:30:06.0"
"둘레15길 15-1","","127.055448578","37.536240072","100324","11200000097","KOR","즐거운어린이집","","성동구","","","","","","02-469-9566","민간개인","일반","49","39","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2019-01-22 04:00:13.0"
"서울숲2길 37","","127.042750609","37.546634755","100324","11200000098","KOR","동산 어린이집","","성동구","","","","","","02-465-7738","민간개인","시간연장형","83","73","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-12-22 04:00:11.0"
"왕십리로8길 15","","127.046530491","37.546296312","100324","11200000100","KOR","신해맑은어린이집","","성동구","","","","","","02-497-0717","민간개인","일반","43","42","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2019-01-22 04:00:14.0"
"서울특별시 성동구 성수이로 137","서울특별시 성동구 성수동2가 834","127.057498154","37.546924514","100324","11200000101","KOR","옹달샘어린이집","","성동구","","","","","","02-469-5575","민간개인","일반","30","30","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-10-12 17:30:06.0"
"용답중앙15길 10","","127.053623026","37.564229911","100324","11200000106","KOR","피노키오어린이집","","성동구","","","","","","02-2215-0526","민간개인","시간연장형 휴일보육 24시간","23","22","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-12-28 04:00:06.0"
"마장로42길 14","","127.045237041","37.565910337","100324","11200000109","KOR","세림 어린이집","","성동구","","","","","","02-2298-1553","가정","일반","20","20","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2019-01-15 04:00:12.0"
"서울특별시 성동구 행당로 79","서울특별시 성동구 행당동 347","127.028053132","37.559352711","100324","11200000112","KOR","아이꿈어린이집","","성동구","","","","","","02-2291-1294","가정","일반","19","17","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-10-12 17:30:06.0"
"용답중앙길 58-12","","127.051983724","37.564029663","100324","11200000113","KOR","예영어린이집","","성동구","","","","","","02-2243-0102","가정","일반","15","12","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-10-25 04:00:08.0"
"서울특별시 성동구 무학로 50","서울특별시 성동구 하왕십리동 258","127.030871531","37.568519397","100324","11200000115","KOR","푸른숲어린이집","","성동구","","","","","","02-2296-4697","가정","일반","20","20","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-10-12 17:30:06.0"
"고산자로 164","","127.034991610","37.555842155","100324","11200000116","KOR","아이사랑영재 어린이집","","성동구","","","","","","02-2299-4470","가정","일반","20","20","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-10-17 04:00:15.0"
"금호로 100","","127.025606640","37.554788334","100324","11200000117","KOR","해담솔 어린이집","","성동구","","","","","","02-2293-8431","가정","일반","19","17","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2019-01-12 04:00:13.0"
"고산자로 164","","127.034991610","37.555842155","100324","11200000120","KOR","하늘꿈 어린이집","","성동구","","","","","","02-2298-9921","가정","일반","20","20","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-12-08 04:00:11.0"
"서울특별시 성동구 청계천로 506","서울특별시 성동구 마장동 527-2","127.033430507","37.570221030","100324","11200000122","KOR","성동종합사회복지관 부설 방과후 어린이집","","성동구","","","","","","02-2290-3163","국공립","방과후 전담","20","20","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-10-12 17:30:06.0"
"금호로 15","","127.021441400","37.544814896","100324","11200000123","KOR","서울숲미래연 어린이집","","성동구","","","","","","02-2298-4280","민간개인","일반","53","44","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2019-01-03 04:00:40.0"
"행당로 79","","127.026434235","37.557558880","100324","11200000127","KOR","한빛 어린이집","","성동구","","","","","","02-2299-1567","가정","일반","20","20","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:06.0","2018-12-04 04:00:37.0"
